task_id_match,market_wage,platform,category
RLI-085,59.86624831045163,Upwork,Data
RLI-007,59.86024902049312,Fiverr,Coding
RLI-004,35.434430195703364,Upwork,Technical
RLI-080,34.94012358474936,Upwork,Data
RLI-080,19.75640483061328,Upwork,Reasoning
RLI-065,42.9084453209247,Upwork,Coding
RLI-019,31.08050769456029,Upwork,Creative
RLI-017,60.7149685510487,Fiverr,Technical
RLI-037,48.75160596108432,Upwork,Technical
RLI-090,38.23888244548442,Fiverr,Technical
RLI-001,50.587686932380926,Fiverr,Technical
RLI-017,59.74634636920628,Upwork,Technical
RLI-010,53.00820677785573,Fiverr,Technical
RLI-043,30.370815937400273,Upwork,Reasoning
RLI-075,15.0,Fiverr,Creative
RLI-023,65.24240028785105,Fiverr,Coding
RLI-067,59.19953277176662,Upwork,Coding
RLI-045,36.211122401925536,Fiverr,Reasoning
RLI-091,44.38186197521131,Fiverr,Reasoning
RLI-067,33.48749417392398,Fiverr,Reasoning
RLI-084,43.27372349367045,Upwork,Technical
RLI-084,38.69402392330321,Fiverr,Reasoning
RLI-083,42.57766794812442,Upwork,Technical
RLI-026,44.467395269538784,Upwork,Technical
RLI-075,46.504830864616245,Upwork,Technical
RLI-012,39.42801777479218,Upwork,Data
RLI-027,19.420974075476042,Upwork,Creative
RLI-041,24.439003969470164,Fiverr,Technical
RLI-083,45.13833910297856,Upwork,Technical
RLI-024,41.627130758188166,Upwork,Technical
RLI-061,19.60264017072116,Fiverr,Creative
RLI-079,55.14774685843166,Upwork,Reasoning
RLI-060,49.92020660631092,Fiverr,Coding
RLI-038,54.293863309682266,Fiverr,Coding
RLI-029,52.73272274172819,Upwork,Coding
RLI-024,35.05168423408545,Fiverr,Data
RLI-050,49.16274284838144,Upwork,Technical
RLI-086,15.0,Fiverr,Data
RLI-006,30.40563089331971,Fiverr,Reasoning
RLI-066,43.960409334051214,Upwork,Technical
RLI-094,29.647499311619075,Fiverr,Creative
RLI-075,25.974784394001066,Fiverr,Data
RLI-073,43.78383055113322,Fiverr,Technical
RLI-015,58.995406889444766,Fiverr,Creative
RLI-099,41.432093060119094,Upwork,Coding
RLI-034,36.54040719678904,Fiverr,Reasoning
RLI-091,27.465079379135418,Fiverr,Creative
RLI-031,62.49238208876501,Fiverr,Coding
RLI-074,63.12684614796885,Fiverr,Technical
RLI-034,46.16649257919272,Upwork,Coding
RLI-047,42.62475939570432,Fiverr,Technical
RLI-033,36.50412782914097,Upwork,Data
RLI-094,54.79028834145553,Upwork,Coding
RLI-048,28.86236544361241,Fiverr,Creative
RLI-080,43.42208392978605,Upwork,Reasoning
RLI-032,60.28878145290858,Fiverr,Reasoning
RLI-037,53.090670095341885,Upwork,Coding
RLI-050,55.17784743388722,Fiverr,Coding
RLI-020,33.9077200155014,Upwork,Technical
RLI-078,58.545384835325606,Upwork,Coding
RLI-049,28.09082787486383,Upwork,Creative
RLI-065,38.10269398540389,Fiverr,Creative
RLI-081,41.500632569884885,Fiverr,Coding
RLI-021,51.64703859134603,Upwork,Coding
RLI-018,40.208511190566824,Fiverr,Data
RLI-028,26.35356772203621,Upwork,Creative
RLI-039,32.17115509629715,Upwork,Data
RLI-013,50.47757497620501,Fiverr,Technical
RLI-024,37.1721811951149,Upwork,Technical
RLI-053,45.08090770182851,Upwork,Reasoning
RLI-023,41.18281013242769,Fiverr,Coding
RLI-032,53.27525676339793,Fiverr,Technical
RLI-039,39.24086443359602,Upwork,Data
RLI-010,41.49090453094009,Fiverr,Technical
RLI-089,54.875514891960606,Fiverr,Coding
RLI-080,54.42818313807842,Upwork,Coding
RLI-028,52.80552279279582,Upwork,Technical
RLI-021,46.259339967913256,Fiverr,Coding
RLI-063,60.96016178369753,Upwork,Coding
RLI-030,43.74717816192687,Fiverr,Reasoning
RLI-049,33.51453180799876,Upwork,Reasoning
RLI-044,38.91139312961036,Upwork,Data
RLI-043,48.562200895304784,Upwork,Technical
RLI-011,53.69138514331848,Upwork,Coding
RLI-098,39.85320752680551,Fiverr,Data
RLI-045,28.3221692518097,Fiverr,Creative
